author,reviewRating,reviewBody,dateCreated,reviewUrl,orginalText,name,place_id,aggregateRating
陳毅,5.0,"Wagyu cheese beef balls taste very good, Q bomb is not too hard, the taste of curry rice is very rich",2 weeks ago,https://www.google.com/maps/contrib/104174683418723707974/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegQIARA2,和牛起司牛肉丸的口感非常好Q彈又不會太硬，咖哩飯的味道非常濃郁,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
魚想翔,5.0,Dumplings are big and delicious,22 hours ago,https://www.google.com/maps/contrib/116404387178651700914/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegQIARBA,水餃大顆又好好吃,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
江文瑄,5.0,Delicious and cheap,6 days ago,https://www.google.com/maps/contrib/100478395006594795995/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARCZAg,好吃又便宜讚讚,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
101 陳杰明 Benjamin Chan,5.0,push up,2 weeks ago,https://www.google.com/maps/contrib/111657100449883850161/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARAC,推爆,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Jim Powers,4.0,"Bad service attitude, reasonable price",2 weeks ago,https://www.google.com/maps/contrib/103430091286383963927/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegUIARDbAQ,服務態度不佳，價格合理,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Vic Huang,5.0,The main body is a dumpling shop with lo-mei But the dumplings are also delicious More skin Q stuffing ate for ten years,2 days ago,https://www.google.com/maps/contrib/107493523800056068658/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARCcAQ,本體是滷味的餃子店 但餃子也十分好吃 皮Q餡多 吃了十幾年,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
renee liu,4.0,"five visits The sauce of the salad is amazing, the lemon egg salad is refreshing and delicious, the stew in the beef and vegetable soup is very delicious, the atmosphere of the store is warm and refreshing",3 days ago,https://www.google.com/maps/contrib/111394079125720339419/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegQIARBq,五訪 沙拉的醬料非常驚豔，檸檬蛋沙拉清爽入味，牛肉蔬菜湯裡的燉物都很入味，店裡氣氛溫馨清爽,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
ENA ANE,5.0,"From the first store in Taichung to now, I really make soup with my heart!!",2 weeks ago,https://www.google.com/maps/contrib/114815311998035403921/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegQIARAz,從台中第一間店喝到現在，真的很用心做湯!!,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
SZUWEI HUANG,1.0,Shop assistant 🤷‍♂️,a week ago,https://www.google.com/maps/contrib/112245106177629165705/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegUIARDvAQ,店員🤷‍♂️,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Vicky Huang,5.0,"The original home temperature brand was changed to Xiaotangwu, and the menu was slightly adjusted, but the taste remained the same. This time, I ordered the large salad of the new menu. The pepper and sesame sauce is slightly numb and slightly spicy. There are frozen soups that can be ordered every month, and you can also drink their soups simply by heating them at home. Big push!",a week ago,https://www.google.com/maps/contrib/102103465339281068765/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegUIARCGAg,原本的家溫度品牌更換為小湯烏，菜單略有調整，但美味不變。這次點新菜單的大沙拉，椒麻醬微微麻微微辣，份量十足，有蛋白質有蔬菜，可單點可配套餐。每月有冷凍湯品可以訂購，在家簡單加熱也可以喝到他們的湯品，大推！,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Uham,5.0,"The curry is delicious, and I feel that it is the result of careful cooking. Although the overall portion of the fried oysters is relatively small, the outer layer is crispy and the taste is bursting when you bite into it. The downside is that it is also very hot inside, because it is too hot, I can't even finish the miso soup. Will want to choose to visit again in winter.",2 weeks ago,https://www.google.com/maps/contrib/113263845094334628817/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegUIARDZAQ,咖喱很美味，感受得出是用心熬煮的成果；炸牡蠣雖然整體份量比較小，但也是外層酥脆、咬開有爆汁的口感。缺點是室內也很悶熱，因為太熱，連滑菇味噌湯都沒能喝完。會想選擇在冬天再來二訪。,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
蘇志恩,5.0,"Very delicious fried steak sandwich, the first time I want to give the store a review!",2 weeks ago,https://www.google.com/maps/contrib/111989022889355785883/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARBH,非常美味的炸牛排三明治，第一次主動想要給店家評論！,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
RA TO,5.0,"Just ordered bread, pumpkin puree and soup delivery It was amazing when it was delivered. The bread was freshly baked and delicious. Pumpkin soup feels good for the first time Pumpkin puree is cold do not eat The first time I was sick, I was so happy to be able to eat so smoothly It's no surprise that I will often order this delivery in the near future",2 months ago,https://www.google.com/maps/contrib/112782114182680462713/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARAe,剛叫麵包南瓜泥跟湯外送 送來時蠻驚艷麵包是剛烤好又很香 南瓜湯頭一次喝的感覺很舒服 南瓜泥是冷的就沒吃 第一次生病還能吃這麼順暢很開心 沒意外近期會常常點這家外送,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Mika Wu (Mika wu),4.0,"The top is focaccia bread, the inner Q is not hard, just the softness I like The following is the French crispy bread, which is crispy on the outside and soft on the inside, which is also my favorite, but because the middle is very fluffy, it feels less portion. The two bowls of soup ordered today are Minced Pork with Tomatoes Vegetable Baby Soup (Cauliflower, Cheese and Dill Soup) - It's like a soup version of baby porridge. I thought I could eat cauliflower, but all kinds of vegetables were broken into the soup. This version is relatively light and not bad. drink Overall it was delicious and would like to come back for other kinds of soup",3 months ago,https://www.google.com/maps/contrib/111666641512272363967/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARB8,上面是佛卡夏麵包，內Q不硬剛好是我喜歡的軟硬度 下面是法式酥脆麵包，外酥內軟，也是我喜歡的，只是因為中間很蓬鬆所以吃起來感覺份量較少 今天點的兩碗湯是 番茄碎豬肉 蔬菜寶寶湯（綠花椰菜起司蒔蘿濃湯）-像是湯版的寶寶粥，原本以為可以吃到花椰菜，結果各種蔬菜都打碎在湯裡，此款相較之下比較清淡，也不錯喝 整體而言是好吃的，而且會想再來喝其他種類的湯,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Harvey Weg,5.0,"Our curry is quite distinctive, and the basic sauce is chicken thigh sauce curry In the process of tasting the main food, you can eat a lot of chicken thigh pieces It's an unexpected bonus. The curry is mellow and rich, if you like spicy food, it is also recommended The decoration of the store is quite elegant, and the owner manages it carefully It is recommended for curry partners who want to be satisfied and want to taste exquisite curry.",a week ago,https://www.google.com/maps/contrib/109691679068134165231/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegUIARDTAQ,本家咖哩挺有特色，基礎醬料為雞腿肉醬咖哩 在品嚐主食的過程中能夠吃到挺多雞腿肉塊 算是意外的加分項目。 咖哩香醇濃郁，如果喜歡吃辣的朋友也很推薦 店面裝潢頗為雅緻，老闆經營用心 推薦給想要恰適飽足，又想品味精緻的咖哩夥伴。,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Carry Liu,5.0,The boss is very nice ㄌ! I finally got a delicious curry from Tainan!,3 days ago,https://www.google.com/maps/contrib/115540983776403230419/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARC9AQ,老闆非常Niceㄌ！從台南來終於吃到好吃咖哩ㄌ！,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Tina He,5.0,"Not much nonsense, it is very delicious 😋 It's a store that I will want to visit again in a while👍",3 days ago,https://www.google.com/maps/contrib/117873502933369250450/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegUIARDcAQ,廢話不多說，就是非常好吃😋 是ㄧ間會想再回訪的店家👍,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
葉俊佑,5.0,Dumplings are big and delicious,a week ago,https://www.google.com/maps/contrib/112731641717215288303/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegUIARC3AQ,水餃大顆又好吃,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
atnatea Tseng,4.0,"*Dumplings are filled with filling, jokingly called - a little lion head wrapped in dough! *Dumpling meat filling is slightly woody, but it is dipped in lu-mei oily braised sauce, which balances the taste buds and makes it even more delicious! *The sauerkraut attached to the lo mei is crisp, sour, slightly sweet, and has a good taste. You may pass by nearby, call and book 20 minutes in advance, park the car, pay, take the food, go home and enjoy it easily, a great joy!",a week ago,https://www.google.com/maps/contrib/105963739788204716436/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARBm,*水餃 內餡飽滿，戲稱-包了麵皮的小獅子頭! *水餃肉餡 雖略柴，沾滷味的油亮紅燒醬汁，平衡味蕾 更為好吃! *滷味 附的 酸菜，脆酸 微甜 口感佳。 可能經過附近，提前20分鐘打電話訂，一停車，付款，拿著美食，回家輕鬆享用，一大快哉!,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Dona Dona,4.0,"I really like the atmosphere of a little wine cellar, I will accidentally drink a few more glasses 😅",2 weeks ago,https://www.google.com/maps/contrib/111547531708876518610/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARC3AQ,很喜歡有點酒窖的氛圍，會不小心多喝幾杯😅,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
高昊哲,2.0,"The food is delicious but the air-conditioning really needs to be improved Otherwise, it is delicious and the appetite is too hot to eat.",2 weeks ago,https://www.google.com/maps/contrib/116131696228812208767/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegUIARCSAQ,東西好吃但冷氣真的真的真的需要改善 不然很好吃有食慾都熱到吃不下了,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
謝裕仁,3.0,"To tell the truth, it is not very delicious, but the heroic big dumplings and Luwei can come and taste when you have the opportunity to pass by.",6 days ago,https://www.google.com/maps/contrib/117090952373943835179/reviews?hl=en-US&sa=X&ved=2ahUKEwil_ozqp7v5AhUXKkQIHcI6AD0QvfQBegUIARCEAQ,說實在的沒有到非常好吃，但豪邁的大水餃及魯味有機會路過可以來嚐一嚐。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
noodles Super,4.0,"Dumplings are good, but a little expensive, but big Braised cabbage is darker and has a heavier taste, it may depend on the individual Lots of people in line, long wait",a day ago,https://www.google.com/maps/contrib/104960538765426058796/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegQIARBX,水餃還不錯吃 不過有點小貴 但很大顆 滷菜較黑 比較重口味 可能要看個人 排隊人潮蠻多 要等較久,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
黃詩婷（Claire）,4.0,"Side dishes: Matsusaka pork and bitter gourd must order~ The side dishes/luwei are really delicious. I want to try it when I pass by. The big dumplings are delicious and big, I really feel full after eating 6 of them with side dishes👍 Four stars because the environment could have been cleaner. The ingredients are delicious, and I have visited many times:) If you care about the environment, you can take it out:)",a week ago,https://www.google.com/maps/contrib/113562867983553695415/reviews?hl=en-US&sa=X&ved=2ahUKEwil_ozqp7v5AhUXKkQIHcI6AD0QvfQBegUIARCzAQ,小菜：松阪豬跟苦瓜必點～ 小菜/滷味真的好好吃，有路過要來嚐鮮一下。 大水餃好吃又大顆，真的吃6顆配上小菜就很飽了👍 給四顆星是因為環境可以再更乾淨一些。 食材好吃，已經回訪很多次了：）在意環境的，可以外帶：）,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
莊瑞麟,3.0,delicious,5 days ago,https://www.google.com/maps/contrib/111724188530137367088/reviews?hl=en-US&sa=X&ved=2ahUKEwi8nODqp7v5AhV9KkQIHcMfAW8QvfQBegQIARBk,不錯吃,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Jason Yu,4.0,"The most popular big dumplings and all kinds of lo-mei, in addition to selling pasta and soup. There will be a queue during meal times. The dumplings are one size larger than those sold by other stores, and there is only one kind of filling: minced pork + cabbage + chives; the filling is like a bun filling, which is quite elastic and firm, unlike ordinary dumpling fillings, you can use the dumplings here Imagine a bun with dumpling skin. Dine-in is 8.5 yuan, and a pack of 30 frozen dumplings is 240 yuan. There are about 20 kinds of lo mei items to choose from, such as dried tofu, kelp, beef, beef tendon, tripe, pig scalp, pig ears, pig nose...etc. The lo mei is placed at the door of the store. If you want to eat lo mei, you have to order it here. The store will burn it first, add Chaotian pepper and sauerkraut stalks, and then deliver it to your table. Luwei is delicious, and the result is that you want to eat everything. The amount of luwei at checkout often exceeds the amount of staple food (dumplings, pasta). The dry noodles are sweet and the taste is average. The pork liver of the pork liver soup is hard, and the soup is sweet, but it is quite smooth. The dining environment is old, the lighting is not very bright, and it is not comfortable. There are about three or four square tables on the first floor, and there are more than ten square and round tables on the second floor. The stairs upstairs are steep, be careful!",2 days ago,https://www.google.com/maps/contrib/115578761784727275882/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARC5AQ,最受歡迎的大水餃和各式滷味，此外也賣麵食和湯品。用餐時間需要排隊。 水餃比其他店家賣的大一號，只有一種餡：豬絞肉+高麗菜+韭菜; 內餡像是包子餡，頗有彈性而且較結實，不像是一般的水餃餡，可以將這裡的水餃想像是水餃皮的包子。 堂食一顆8.5元，外帶的冷凍水餃1包30顆240元。 滷味約有二十幾種品項可以選擇，豆干、海帶、牛肉、牛筋、牛肚、豬頭皮、豬耳朵、豬鼻子...等等。滷味擺放的位置在店門口，想吃滷味就要到這裡點，店家會先燙過，再加上朝天椒和酸菜梗後，送到你的餐桌。 滷味味美，結果是什麼都想吃，結帳時滷味的金額往往超出主食(水餃、麵食)的金額許多。 乾麵偏甜，味道一般。豬肝湯的豬肝偏硬，湯頭帶甜，不過蠻順口的。 用餐環境陳舊、燈光不是很明亮，稱不上舒適。一樓約有三、四張方桌，二樓則有總共超過十張的方桌和大圓桌。上樓的樓梯很陡，要小心！,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
杜小月,4.0,"The most powerful thing in the Great Northern Wilderness is the dumplings that are half the size of a fist and can be piled up into a small mountain of lo-mei 🤣 In addition to being quite confident in their food intake, girls are advised not to exceed 5 😉 I can't eat anything else 👍 Lots of off-street parking around! Fairly convenient.",2 weeks ago,https://www.google.com/maps/contrib/106904390079145919507/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegUIARDAAQ,南港北大荒最強大應該就屬半個拳頭大的水餃跟隨便點都能堆成小山的滷味🤣 女孩們除了對自己的食量相當具有信心，建議不要超過5顆😉 其他東西會吃不下👍 周邊的路外停車格很多！還算方便。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Lon Pan,3.0,"It tastes popular, and the side dishes are a bit expensive",2 weeks ago,https://www.google.com/maps/contrib/111790836212326225707/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegUIARCpAQ,吃起來普普，小菜貴了點,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Chih Siao,5.0,"You can drink two kinds of soup at one time, satisfying people who have difficulty in choice. There are many ingredients in the soup to be full. Japanese bread is delicious, and the soup with bread dipped in thick soup is also delicious",a month ago,https://www.google.com/maps/contrib/113734632968786610357/reviews?hl=en-US&sa=X&ved=2ahUKEwj_zYjrp7v5AhVeKEQIHRsCDxQQvfQBegQIARAC,一次可以喝到兩種湯，滿足選擇障礙的人，湯裡的料多能吃飽，日式麵包很好吃，麵包沾濃湯類的湯品也很好吃,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Johnson Hung,5.0,"Great taste, portion size can be increased",2 days ago,https://www.google.com/maps/contrib/113645851001709444700/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegUIARCVAQ,味道優秀，份量可以再提升,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Zach Chen,3.0,"It's delicious, I will want to visit again. The second time I eat it, I think it's ordinary and tasteless. I won't be here again.",6 days ago,https://www.google.com/maps/contrib/114569920077784869680/reviews?hl=en-US&sa=X&ved=2ahUKEwi8nODqp7v5AhV9KkQIHcMfAW8QvfQBegUIARCxAQ,好吃 會想二訪. 第二次吃覺得普通沒味道 不會在來了,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
麻糬老師 Maggie Lin,1.0,"After the maternity check, I came to eat nearby, and I read the Internet and said that this is the best pasta in Taipei. Looking forward to coming here, I found that the restaurant opposite Zhongshan Hospital is much better. Arranged in order of serving ①I ordered pumpkin soup, which is a clear soup filled with spices and tasted like curry; berry sparkling drink, ordinary. ② Potato pancakes are delicious, you can order them ③Barça Vinegar Smoked Duck Breast Cream Spaghetti, it took almost 40 minutes to serve the last dish 🙃 (It took about 5 minutes after waiting too long to ask the waiter) ④Tiramisu (haven't eaten yet... no comment) In conclusion, this house will not visit again If I had known that I had read the other comments first, I wouldn't have stepped on the thunder.",2 weeks ago,https://www.google.com/maps/contrib/106941392318893696868/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARCcAQ,產檢完來附近吃飯，看了網路說這是台北市最好吃的義大利麵。滿心期待過來，發現中山醫院對面的餐廳還好吃許多。 依照上菜順序排列 ①點了南瓜濃湯，就是加滿香料喝起來像咖喱的清湯；莓果氣泡飲，普通。 ②馬鈴薯煎餅還不錯吃，可以點 ③巴薩醋燻鴨胸奶油義大利麵，跟上一道菜隔了快40分鐘才上桌🙃 （等太久受不了詢問服務生後大概5分鐘就上桌了） ④提拉米蘇 （還沒吃到⋯⋯不予置評） 結論，這家不會二訪 早知道先看其他評論就不會來踩雷了,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
陳駿凱,4.0,"The dumplings are good, with big fillings and filling; the blanched vegetables are a bit stale.",a week ago,https://www.google.com/maps/contrib/108558995472304631090/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegUIARCgAQ,水餃不錯，大顆餡料飽滿；燙青菜有點不新鮮。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
クサ,5.0,"Delicious food, relaxing space, always favorite shop",3 weeks ago,https://www.google.com/maps/contrib/115732276828570822991/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegQIARB6,很好吃的食物，很放鬆的空間，永遠喜歡的店,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
徐夏蘭,5.0,Dumplings are big and taste good,a week ago,https://www.google.com/maps/contrib/116281254583086230437/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegUIARDOAQ,水餃大顆味到不錯,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
許大鵰,5.0,"I haven't been here for a long time to add myself, I really dare not order too much, it turns out that 8 dumplings and a bowl of soup are just right",a week ago,https://www.google.com/maps/contrib/111586503001411267787/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegQIARBY,很久沒來加上自己一個人，實在不敢點太多，事實証明水餃8顆加碗湯剛剛好,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
C Jessie,4.0,"Dine here on 7/20 As soon as I entered the door, I saw a cockroach on the ground. It was quite big. But fortunately myself I'm not afraid of cockroaches, so I didn't yell And cockroaches are very similar to the color of the floor Then... wait for a while The waiter came over to ask if there was a reservation and greet you Talk to the waiter in a low voice There's a cockroach at the door but may be too quiet The staff didn't hear clearly A little brief introduction I'm busy~ During the process, because of my position, I can see the door So my eyes really can't leave The cockroach at the door Later, I explained to another waiter There's a big cockroach at the door He just went to get rid of the cockroaches Otherwise I'll have to watch that cockroach the whole time 😅 Then ordered 2 main meals Firework girl face and cat ear face an appetizer octopus Add-on set meal for business lunch And a tiramisu The food is delicious ~ my friends and I love it The noodles themselves will be dry Just the way I like it But after the last bite bit into a small piece of plastic I don't know why it's in the face And I didn't notice it when I ate it I got a hard bite in my mouth At first I thought it was chili pepper It turned out to be small pieces of plastic. The plastic sheet is so small that I can't see what it is (pictured) The drink of the set menu is also good with lemon tea I really want to drink more 😆😆😆 Tiramisu tastes like wine I also like it very much Overall the meal was delicious The staff are also very kind will visit again~",2 weeks ago,https://www.google.com/maps/contrib/103444125381308983685/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARCPAg,7/20到此用餐 一進門看到地上有隻蟑螂 蠻大隻的 但還好我本身 不怕蟑螂 所以也沒有大叫 而且蟑螂跟地板顏色很相近 然後～等了一下 服務生過來詢問是否有訂位 並招呼入坐 小小聲的跟服務人員說 門口有隻蟑螂 但可能講太小聲 服務人員沒聽清楚 稍微簡單介紹 就去忙了～ 過程中因為我的位置是可以看到門口 於是我的眼光真的離不開 門口那隻蟑螂 後來又跟另外一位服務生說明 門口有隻大蟑螂 他才去把蟑螂處理掉 不然我就要全程看著那隻蟑螂了😅 然後點了2份主餐 煙花女麵跟貓耳朵麵 一份開胃菜 章魚 加購了商業午餐的套餐 還有一份提拉米蘇 餐點很好吃～我和朋友都很喜歡 麵本身會炒的比較乾 剛好是我喜歡的感覺 不過吃完最後一口麵 居然咬到一個小小的塑膠片 不知道為什麼會在麵裡面 而且我吃的時候也沒發現 是在我口腔內 咬到一片硬硬的 一開始以為是辣椒皮 結果吐出來是小塑膠片 塑膠片很小 也看不出是什麼東西（如圖） 套餐的飲料檸檬紅茶也很好喝 好想多喝幾杯😆😆😆 提拉米蘇 帶點酒味的味道 也是我非常喜歡的 整體來說餐點很美味 無雷 服務人員也蠻親切的 會再回訪～,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Charlie,4.0,"This is the second visit, and I will still recommend the Wagyu Cheese Ball Curry👍🏻 But I don't know if it was busy during rush hour or other factors, the bread of this fried steak filet mignon was a little overcooked. The air conditioner is also not on, causing the whole body to smell of oil smoke. The service and response of the new colleagues are also very unqualified. I hope to strengthen these small details, otherwise the creation of taste and atmosphere will be very good. Come on.",2 weeks ago,https://www.google.com/maps/contrib/111849960650812880143/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegUIARCpAQ,本次為第二訪，依然必推和牛起司丸咖哩👍🏻 但是不知道是尖峰時段比較忙碌還是其他因素，本次的炸牛排菲力三明治的麵包有點烤過焦了。 空調也沒啥開 導致全身油煙味。 新來的同仁服務及應對也非常不合格，希望能加強這些小細節，不然味道和氛圍的營造是十分不錯的 加油。,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
張家銘,5.0,first visit The taste is delicious Eat fresh food The warm hospitality of the boss is also a big plus,3 weeks ago,https://www.google.com/maps/contrib/106553736819993609842/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegUIARCnAQ,第一次造訪 口味很美味到地 吃得出食材的新鮮 老闆親切招待也是一大優點,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Dorothy Chen,5.0,"There are various checkout methods, supporting credit cards and various payments, and electronic invoices. The environment is clean and bright, and the tableware is put in the recycling area by yourself after meals. The tableware is a ceramic bowl, not plastic, which is a plus. There are bookshelves and books in the self-service area, and there are picture books inside, which children like very much. The soup meals are fresh and delicious, and there are three kinds of bread in the bread basket, which are delicious. If you have cooked soup yourself, you will know that this soup has the owner's love. Frozen soup packs can be ordered to pick up and drink at home.",3 weeks ago,https://www.google.com/maps/contrib/110276633920946262414/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegUIARCRAQ,結帳方式多元，支援信用卡與各種支付，有電子發票。 環境乾淨明亮，用餐後餐具自助放回收區。 餐具是陶碗，不是塑膠，非常加分。 自助區有書架與書，裡頭有繪本，孩子很喜歡。 湯品餐點新鮮好吃，麵包籃的麵包有三種，好吃。 有自己煮過湯就知道這湯有老闆的愛。 可預定冷凍湯包自取回家喝。,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
nimo nimo,5.0,very recommended,6 days ago,https://www.google.com/maps/contrib/102386307825033458616/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARCCAg,非常推薦,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Doris,4.0,"The atmosphere in the store is very good👍 suitable for dating The food is also delicious (but the cuttlefish noodles are very ordinary, so don't order them) This is the first time I know that the orthodox Montblanc looks like this🤣",4 days ago,https://www.google.com/maps/contrib/102786181757628894948/reviews?hl=en-US&sa=X&ved=2ahUKEwi8nODqp7v5AhV9KkQIHcMfAW8QvfQBegQIARAb,店內氣氛很好👍適合約會 餐點也好吃（但墨魚麵很普通可以不要點） 第一次知道正統蒙布朗長這樣🤣,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
蔡宛霈,5.0,good food 😋,3 weeks ago,https://www.google.com/maps/contrib/111890260368381436117/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegUIARDAAQ,好食😋,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
